State,District,Year,Area (Hectare),Production (Tonnes),Yield (Kg/Ha),Crop,Season,ndvi_mean,ndvi_max,ndvi_std,ndvi_reading_count
1. Karnataka,MANDYA,2012,1748.0,531.0,0.3,Arhar,Kharif,,,,
1. Karnataka,MANDYA,2013,1234.0,359.0,0.29,Arhar,Kharif,,,,
1. Karnataka,MANDYA,2014,1073.0,315.0,0.29,Arhar,Kharif,,,,
1. Karnataka,MANDYA,2015,1245.0,457.0,0.37,Arhar,Kharif,,,,
1. Karnataka,MANDYA,2016,888.0,302.0,0.34,Arhar,Kharif,,,,
1. Karnataka,MANDYA,2017,1048.0,676.0,0.65,Arhar,Kharif,,,,
1. Karnataka,MANDYA,2018,341.0,221.0,0.65,Arhar,Kharif,,,,
1. Karnataka,MANDYA,2019,366.0,240.0,0.66,Arhar,Kharif,0.51318,0.6136,0.12365171652670254,5.0
1. Karnataka,MANDYA,2020,605.0,399.0,0.66,Arhar,Kharif,0.6406375,0.7164,0.06813134243084143,8.0
1. Karnataka,MYSORE,2010,4426.0,3561.0,0.8,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2011,4439.0,2142.0,0.48,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2012,4804.0,3551.0,0.74,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2013,3763.0,2291.0,0.61,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2014,2697.0,1617.0,0.6,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2015,2774.0,1181.0,0.43,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2016,2903.0,1081.0,0.37,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2017,2022.0,1510.0,0.75,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2018,3767.0,3457.0,0.92,Arhar,Kharif,,,,
1. Karnataka,MYSORE,2019,2530.0,1524.0,0.6,Arhar,Kharif,0.1113,0.1113,,1.0
1. Karnataka,MYSORE,2020,3288.0,1993.0,0.61,Arhar,Kharif,0.1564,0.1764,0.027375901811629872,3.0
1. Karnataka,RAICHUR,2010,62051.0,20986.0,0.34,Arhar,Kharif,,,,
1. Karnataka,RAICHUR,2011,42859.0,11808.0,0.28,Arhar,Kharif,,,,
1. Karnataka,RAICHUR,2012,31072.0,12103.0,0.39,Arhar,Kharif,,,,
1. Karnataka,RAICHUR,2013,38322.0,16965.0,0.44,Arhar,Kharif,,,,
